batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
JP Faulkner,11.71111111,36,23,0,0,406,527,129.8029557,6
MN Samuels,11.5,9,7,0,0,174,161,92.52873563,2
NS Naik,11.5,1,0,0,0,33,23,69.6969697,0
S Rana,11.375,9,1,0,0,82,91,110.9756098,0
S Anirudha,11.33333333,11,7,1,0,121,136,112.3966942,1
H Klaasen,11.33333333,5,1,0,0,58,68,117.2413793,1
R Sathish,11.25,22,6,0,0,236,270,114.4067797,0
D Salunkhe,11,5,0,0,0,24,33,137.5,0
Bipul Sharma,11,11,9,0,0,124,187,150.8064516,1
IR Jaggi,10.85714286,7,0,0,0,100,76,76,0
RE van der Merwe,10.6,13,8,0,0,144,159,110.4166667,2
RR Rossouw,10.6,3,3,0,0,51,53,103.9215686,0
P Dogra,10.58333333,4,5,0,0,141,127,90.07092199,1
P Negi,10.45714286,29,16,0,0,301,366,121.5946844,3
DL Chahar,10.42857143,2,6,0,0,46,73,158.6956522,1
R Singh,10.42857143,5,2,0,0,68,73,107.3529412,1
Shoaib Malik,10.4,5,0,0,0,49,52,106.122449,0
T Taibu,10.33333333,3,0,0,0,26,31,119.2307692,0
Ankit Sharma,10.25,11,9,0,0,114,164,143.8596491,2
PR Shah,10.22222222,9,2,0,0,97,92,94.84536082,0
RT Ponting,10.11111111,7,2,0,0,129,91,70.54263566,0
S Dube,10,1,3,0,0,33,40,121.2121212,0
KAJ Roach,10,1,0,0,0,9,10,111.1111111,0
X Thalaivan Sargunam,10,0,0,0,0,17,10,58.82352941,0
DH Yagnik,10,23,2,0,0,142,170,119.7183099,2
D du Preez,10,0,0,0,0,13,10,76.92307692,0
K Rabada,10,5,2,0,0,83,70,84.3373494,1
AB Agarkar,9.944444444,13,5,0,0,160,179,111.875,1
R Tewatia,9.916666667,11,3,0,0,93,119,127.9569892,0
AA Bilakhia,9.857142857,5,0,0,0,88,69,78.40909091,0
AG Paunikar,9.8,9,0,0,0,61,49,80.32786885,0
DJ Thornely,9.75,5,2,0,0,54,39,72.22222222,1
Umar Gul,9.75,2,5,0,0,19,39,205.2631579,0
Harbhajan Singh,9.697674419,79,42,1,0,632,834,131.9620253,6
KK Cooper,9.666666667,9,8,0,0,70,116,165.7142857,1
JDP Oram,9.636363636,6,5,0,0,110,106,96.36363636,1
R Dhawan,9.5625,14,4,0,0,135,153,113.3333333,0
A Mukund,9.5,1,0,0,0,23,19,82.60869565,0
P Sahu,9.5,1,1,0,0,13,19,146.1538462,0
S Gopal,9.357142857,14,1,0,0,120,131,109.1666667,0
M Lomror,9.333333333,3,0,0,0,24,28,116.6666667,0
KV Sharma,9.323529412,18,14,0,0,285,317,111.2280702,2
S Narwal,9.25,6,0,0,0,29,37,127.5862069,0
AD Nath,9.1,7,2,0,0,99,91,91.91919192,0
KW Richardson,9,2,1,0,0,39,36,92.30769231,0
Shahid Afridi,9,7,6,0,0,46,81,176.0869565,1
J Suchith,9,4,2,0,0,48,54,112.5,1
AA Noffke,9,1,0,0,0,12,9,75,0
DS Lehmann,9,3,0,0,0,19,18,94.73684211,0
TG Southee,8.846153846,8,4,0,0,91,115,126.3736264,1
A Chopra,8.833333333,7,0,0,0,75,53,70.66666667,0
B Sumanth,8.75,3,0,0,0,38,35,92.10526316,0
MA Starc,8.727272727,12,0,0,0,98,96,97.95918367,0
K Gowtham,8.705882353,10,10,0,0,86,148,172.0930233,1
Sunny Singh,8.6,6,1,0,0,31,43,138.7096774,0
PJ Cummins,8.555555556,5,4,0,0,56,77,137.5,0
A Choudhary,8.333333333,1,1,0,0,20,25,125,0
S Chanderpaul,8.333333333,4,0,0,0,33,25,75.75757576,0
M Kartik,8.071428571,7,1,0,0,109,113,103.6697248,0
D Shorey,8,0,1,0,0,20,16,80,0
Mohammad Hafeez,8,7,2,0,0,84,64,76.19047619,0
MA Khote,8,2,1,0,0,22,24,109.0909091,0
P Chopra,8,2,0,0,0,6,8,133.3333333,0
N Naik,8,1,0,0,0,17,8,47.05882353,0
CJ McKay,8,0,0,0,0,15,8,53.33333333,0
AJ Tye,7.833333333,6,4,0,0,72,94,130.5555556,0
PP Chawla,7.826666667,54,18,0,0,541,587,108.5027726,0
J Archer,7.727272727,6,4,0,0,62,85,137.0967742,0
J Arunkumar,7.666666667,5,0,0,0,24,23,95.83333333,0
BMAJ Mendis,7.666666667,0,0,0,0,27,23,85.18518519,0
R Ashwin,7.64,32,10,0,0,350,382,109.1428571,2
JO Holder,7.6,4,2,0,0,32,38,118.75,0
DL Vettori,7.5625,12,2,0,0,118,121,102.5423729,0
SA Abbott,7.5,1,1,0,0,13,15,115.3846154,0
RR Powar,7.444444444,6,1,0,0,64,67,104.6875,0
R Vinay Kumar,7.404761905,21,9,0,0,289,311,107.6124567,0
WPUJC Vaas,7.363636364,2,2,0,0,73,81,110.9589041,0
MS Wade,7.333333333,0,0,0,0,33,22,66.66666667,0
SK Warne,7.333333333,14,6,0,0,219,198,90.4109589,1
R Rampaul,7.285714286,3,2,0,0,52,51,98.07692308,0
R Bhatia,7.276595745,24,13,0,0,290,342,117.9310345,0
HV Patel,7.2,3,9,0,0,74,108,145.9459459,1
Joginder Sharma,7.2,1,2,0,0,30,36,120,0
Sohail Tanvir,7.2,3,1,0,0,31,36,116.1290323,0
AD Mascarenhas,7.181818182,5,1,0,0,79,79,100,0
WA Mota,7,3,0,0,0,76,56,73.68421053,0
SB Bangar,7,1,3,0,0,58,49,84.48275862,0
I Malhotra,7,1,0,0,0,4,7,175,0
CA Ingram,7,3,0,0,0,26,21,80.76923077,0
UA Birla,7,1,0,0,0,15,7,46.66666667,0
MDKJ Perera,7,3,0,0,0,13,14,107.6923077,0
B Akhil,6.909090909,5,5,0,0,57,76,133.3333333,0
A Mishra,6.814814815,30,5,0,0,410,368,89.75609756,2
L Ronchi,6.8,6,1,0,0,37,34,91.89189189,0
Iqbal Abdulla,6.769230769,9,1,0,0,86,88,102.3255814,1
NJ Maddinson,6.666666667,4,0,0,0,21,20,95.23809524,0
Harpreet Singh,6.666666667,0,0,0,0,26,20,76.92307692,0
MS Gony,6.6,6,8,0,0,76,99,130.2631579,1
Washington Sundar,6.583333333,5,4,0,0,56,79,141.0714286,1
B Lee,6.526315789,8,8,0,0,102,124,121.5686275,0
DT Patil,6.5,1,0,0,0,13,13,100,0
Rashid Khan,6.411764706,5,9,0,0,67,109,162.6865672,1
RJ Peterson,6.4,3,1,0,0,32,32,100,0
KB Arun Karthik,6.375,6,1,0,0,53,51,96.22641509,0
Vishnu Vinod,6.333333333,1,1,0,0,26,19,73.07692308,0
R Bishnoi,6.333333333,1,2,0,0,17,19,111.7647059,0
M Morkel,6.3,10,5,0,0,93,126,135.483871,0
MG Johnson,6,10,7,0,0,168,168,100,0
PSP Handscomb,6,0,0,0,0,12,6,50,0
K Upadhyay,6,0,1,0,0,9,12,133.3333333,0
AN Ahmed,6,4,1,0,0,27,36,133.3333333,0
T Curran,6,3,0,0,0,28,24,85.71428571,0
JJ van der Wath,6,1,1,0,0,17,18,105.8823529,0
DM Bravo,6,1,0,0,0,5,6,120,0
SS Shaikh,6,1,0,0,0,7,6,85.71428571,0
P Kumar,5.964912281,22,17,0,0,323,340,105.2631579,1
S Aravind,5.9,7,0,0,0,59,59,100,0
J Syed Mohammad,5.8,4,0,0,0,27,29,107.4074074,0
Kuldeep Yadav,5.75,4,0,0,0,55,46,83.63636364,0
CR Woakes,5.727272727,5,2,0,0,66,63,95.45454545,0
Mohammed Siraj,5.666666667,2,1,0,0,38,34,89.47368421,0
A Mithun,5.666666667,4,1,0,0,26,34,130.7692308,0
SB Jakati,5.6,3,0,0,0,30,28,93.33333333,0
RJ Harris,5.571428571,6,3,0,0,112,117,104.4642857,0
AUK Pathan,5.571428571,5,2,0,0,26,39,150,0
RV Gomez,5.555555556,5,1,0,0,53,50,94.33962264,0
T Henderson,5.5,0,1,0,0,16,11,68.75,0
M Ntini,5.5,2,0,0,0,19,11,57.89473684,0
GB Hogg,5.5,1,0,0,0,22,22,100,0
DNT Zoysa,5.5,1,0,0,0,9,11,122.2222222,0
CK Kapugedera,5.333333333,0,0,0,0,24,16,66.66666667,0
DS Kulkarni,5.315789474,7,2,0,0,111,101,90.99099099,0
WD Parnell,5.25,5,1,0,0,80,63,78.75,0
DE Bollinger,5.25,1,1,0,0,23,21,91.30434783,0
DW Steyn,5.1875,16,3,0,0,161,166,103.1055901,0
SN Thakur,5.142857143,5,1,0,0,21,36,171.4285714,0
TD Paine,5,0,0,0,0,29,10,34.48275862,0
R Salam,5,0,0,0,0,4,5,125,0
M Rawat,5,4,1,0,0,70,55,78.57142857,0
AC Thomas,5,1,1,0,0,19,20,105.2631579,0
KMDN Kulasekara,5,1,0,0,0,3,5,166.6666667,0
I Sodhi,5,0,1,0,0,18,10,55.55555556,0
B Stanlake,5,1,0,0,0,2,5,250,0
MM Sharma,4.96,9,4,0,0,120,124,103.3333333,0
VR Aaron,4.9,2,2,0,0,63,49,77.77777778,0
KC Cariappa,4.8,0,2,0,0,21,24,114.2857143,0
R Shukla,4.75,2,0,0,0,23,19,82.60869565,0
NM Coulter-Nile,4.727272727,3,4,0,0,53,52,98.11320755,0
F Behardien,4.666666667,2,0,0,0,13,14,107.6923077,0
B Kumar,4.634146341,17,3,0,0,197,190,96.44670051,0
Anureet Singh,4.625,2,1,0,0,47,37,78.72340426,0
SW Tait,4.6,1,1,0,0,26,23,88.46153846,0
JD Unadkat,4.583333333,6,1,0,0,54,55,101.8518519,0
Basil Thampi,4.571428571,1,1,0,0,37,32,86.48648649,0
MJ McClenaghan,4.55,6,7,0,0,73,91,124.6575342,0
Harmeet Singh,4.5,3,0,0,0,12,18,150,0
SM Harwood,4.5,0,0,0,0,14,9,64.28571429,0
M Markande,4.428571429,3,0,0,0,30,31,103.3333333,0
SL Malinga,4.4,6,5,0,0,103,88,85.4368932,0
K Paul,4.4,1,1,0,0,26,22,84.61538462,0
Z Khan,4.333333333,11,2,0,0,141,117,82.9787234,0
S Mavi,4.333333333,1,0,0,0,15,13,86.66666667,0
KJ Abbott,4.333333333,0,1,0,0,8,13,162.5,0
Parvez Rasool,4.25,1,0,0,0,20,17,85,0
Swapnil Singh,4,0,0,0,0,20,12,60,0
A Dananjaya,4,0,0,0,0,5,4,80,0
R Bhui,4,0,0,0,0,18,8,44.44444444,0
CK Langeveldt,4,0,1,0,0,9,8,88.88888889,0
S Sharma,4,2,0,0,0,4,8,200,0
Avesh Khan,4,1,0,0,0,3,4,133.3333333,0
RR Raje,4,1,1,0,0,18,20,111.1111111,0
AA Chavan,4,2,0,0,0,11,12,109.0909091,0
J Searles,4,0,1,0,0,6,8,133.3333333,0
RS Sodhi,4,1,0,0,0,2,4,200,0
UT Yadav,3.848484848,12,4,0,0,133,127,95.4887218,0
JJ Bumrah,3.7,2,1,0,0,39,37,94.87179487,0
T Kohli,3.666666667,0,1,0,0,20,11,55,0
AS Rajpoot,3.6,2,0,0,0,31,18,58.06451613,0
AN Ghosh,3.5,1,0,0,0,8,7,87.5,0
VS Malik,3.5,1,0,0,0,7,7,100,0
R Sharma,3.473684211,5,3,0,0,77,66,85.71428571,0
Mohammed Shami,3.375,5,2,0,0,54,54,100,0
AG Murtaza,3.333333333,1,0,0,0,14,10,71.42857143,0
MM Patel,3.25,5,0,0,0,41,39,95.12195122,0
I Sharma,3.055555556,4,2,0,0,62,55,88.70967742,0
SK Trivedi,3,3,1,0,0,61,42,68.85245902,0
S Tyagi,3,0,0,0,0,4,3,75,0
SB Joshi,3,0,0,0,0,16,6,37.5,0
R Ninan,3,0,0,0,0,6,3,50,0
M Wood,3,0,0,0,0,5,3,60,0
M Ur Rahman,3,2,0,0,0,11,12,109.0909091,0
RD Chahar,3,2,0,0,0,13,15,115.3846154,0
BA Bhatt,3,0,1,0,0,7,6,85.71428571,0
J Yadav,3,0,0,0,0,12,6,50,0
Younis Khan,3,0,0,0,0,7,3,42.85714286,0
PV Tambe,3,1,0,0,0,39,18,46.15384615,0
Karanveer Singh,3,1,0,0,0,17,12,70.58823529,0
Kamran Khan,3,0,0,0,0,5,3,60,0
T Thushara,3,0,0,0,0,19,12,63.15789474,0
D Kalyankrishna,3,0,0,0,0,8,3,37.5,0
TA Boult,3,0,1,0,0,14,12,85.71428571,0
VY Mahesh,3,0,0,0,0,28,15,53.57142857,0
Imran Tahir,2.857142857,3,0,0,0,27,20,74.07407407,0
S Sreesanth,2.833333333,7,0,0,0,57,34,59.64912281,0
L Balaji,2.769230769,2,1,0,0,50,36,72,0
TS Mills,2.666666667,0,1,0,0,11,8,72.72727273,0
TM Srivastava,2.666666667,0,0,0,0,11,8,72.72727273,0
S Badree,2.6,0,0,0,0,25,13,52,0
J Theron,2.5,1,0,0,0,13,10,76.92307692,0
A Zampa,2.5,1,0,0,0,8,5,62.5,0
Shivam Sharma,2.5,1,0,0,0,3,5,166.6666667,0
SMSM Senanayake,2.5,0,0,0,0,17,10,58.82352941,0
A Nehra,2.411764706,3,1,0,0,63,41,65.07936508,0
AF Milne,2.333333333,0,0,0,0,12,7,58.33333333,0
Ankit Soni,2.333333333,0,1,0,0,9,7,77.77777778,0
A Kumble,2.333333333,4,0,0,0,49,35,71.42857143,0
M Muralitharan,2.222222222,1,0,0,0,30,20,66.66666667,0
DP Nannes,2,0,0,0,0,13,4,30.76923077,0
VRV Singh,2,1,0,0,0,3,4,133.3333333,0
Mohammad Ashraful,2,0,0,0,0,12,2,16.66666667,0
S Randiv,2,0,0,0,0,4,2,50,0
Shoaib Akhtar,2,0,0,0,0,8,2,25,0
CRD Fernando,2,0,0,0,0,3,4,133.3333333,0
Jaskaran Singh,2,0,0,0,0,11,8,72.72727273,0
A Uniyal,2,0,0,0,0,7,4,57.14285714,0
Mashrafe Mortaza,2,0,0,0,0,2,2,100,0
H Viljoen,2,1,0,0,0,7,6,85.71428571,0
H Vihari,2,0,0,0,0,8,4,50,0
RS Gavaskar,2,0,0,0,0,8,2,25,0
H Das,2,0,0,0,0,5,2,40,0
VS Yeligati,2,0,0,0,0,2,2,100,0
RG More,2,0,0,0,0,2,2,100,0
GD McGrath,2,1,0,0,0,5,4,80,0
A Chandila,2,0,0,0,0,7,4,57.14285714,0
FH Edwards,2,0,0,0,0,5,4,80,0
PJ Sangwan,1.923076923,1,0,0,0,41,25,60.97560976,0
S Nadeem,1.882352941,1,0,0,0,79,32,40.50632911,0
RP Singh,1.857142857,2,1,0,0,78,52,66.66666667,0
Sandeep Sharma,1.857142857,1,0,0,0,40,26,65,0
YS Chahal,1.833333333,0,0,0,0,49,22,44.89795918,0
S Kaul,1.714285714,0,0,0,0,28,12,42.85714286,0
AB Dinda,1.625,2,0,0,0,50,26,52,0
BB Sran,1.571428571,0,0,0,0,14,11,78.57142857,0
CJ Jordan,1.5,0,0,0,0,5,3,60,0
Mohammad Asif,1.5,0,0,0,0,6,3,50,0
JE Taylor,1.5,0,0,0,0,4,3,75,0
Pankaj Singh,1.4,0,0,0,0,12,7,58.33333333,0
SJ Srivastava,1.25,0,0,0,0,5,5,100,0
B Laughlin,1.25,0,0,0,0,13,5,38.46153846,0
SB Wagh,1,0,0,0,0,3,2,66.66666667,0
NJ Rimmington,1,0,0,0,0,1,1,100,0
DJ Muthuswami,1,0,0,0,0,3,1,33.33333333,0
PM Sarvesh Kumar,1,0,0,0,0,2,1,50,0
DP Vijaykumar,1,0,0,0,0,1,1,100,0
H Gurney,1,0,0,0,0,5,1,20,0
A Turner,1,0,0,0,0,11,4,36.36363636,0
SE Bond,1,0,0,0,0,2,1,50,0
P Awana,1,0,0,0,0,14,5,35.71428571,0
BAW Mendis,1,0,0,0,0,6,3,50,0
M de Lange,1,0,0,0,0,2,1,50,0
LH Ferguson,1,0,0,0,0,1,1,100,0
Mustafizur Rahman,1,0,0,0,0,3,1,33.33333333,0
PP Ojha,0.842105263,0,0,0,0,45,16,35.55555556,0
M Ashwin,0.8,0,0,0,0,8,4,50,0
KP Appanna,0.666666667,0,0,0,0,4,2,50,0
BE Hendricks,0.5,0,0,0,0,3,1,33.33333333,0
P Krishna,0.5,0,0,0,0,7,1,14.28571429,0
L Plunkett,0.5,0,0,0,0,3,1,33.33333333,0
P Parameswaran,0.5,0,0,0,0,3,1,33.33333333,0
A Singh,0.4,0,0,0,0,10,2,20,0
Shoaib Ahmed,0.333333333,0,0,0,0,6,1,16.66666667,0
RR Bhatkal,0,0,0,0,0,2,0,0,0
C Nanda,0,0,0,0,0,1,0,0,0
YA Abdulla,0,0,0,0,0,1,0,0,0
P Raj,0,0,0,0,0,1,0,0,0
Sunny Gupta,0,0,0,0,0,1,0,0,0
V Pratap Singh,0,0,0,0,0,1,0,0,0
L Ablish,0,0,0,0,0,2,0,0,0
Abdur Razzak,0,0,0,0,0,2,0,0,0
IC Pandey,0,0,0,0,0,2,0,0,0
U Kaul,0,0,0,0,0,1,0,0,0
ND Doshi,0,0,0,0,0,13,0,0,0
S Lamichhane,0,0,0,0,0,1,0,0,0
K Ahmed,0,0,0,0,0,1,0,0,0
S Kaushik,0,0,0,0,0,1,0,0,0
S Ladda,0,0,0,0,0,10,0,0,0
J Denly,0,0,0,0,0,1,0,0,0
