batsman,no of balls,batsman_runs
A Ashish Reddy,196,280
A Chandila,7,4
A Chopra,75,53
A Choudhary,20,25
A Flintoff,57,62
A Kumble,49,35
A Mishra,382,340
A Mithun,26,34
A Mukund,23,19
A Nehra,63,41
A Singh,10,2
A Symonds,781,974
A Uniyal,7,4
A Zampa,8,5
AA Bilakhia,88,69
AA Chavan,11,12
AA Jhunjhunwala,218,217
AA Noffke,12,9
AB Agarkar,160,179
AB Barath,43,42
AB Dinda,50,26
AB McDonald,103,123
AB de Villiers,2402,3486
AC Blizzard,91,120
AC Gilchrist,1555,2069
AC Thomas,19,20
AC Voges,143,181
AD Mascarenhas,79,79
AD Mathews,599,724
AD Nath,28,20
AD Russell,350,574
AF Milne,12,7
AG Murtaza,14,10
AG Paunikar,61,49
AJ Finch,1270,1604
AJ Tye,30,53
AL Menaria,367,401
AM Nayar,588,672
AM Rahane,2602,3057
AN Ahmed,27,36
AN Ghosh,8,7
AP Dole,23,34
AP Majumdar,77,87
AP Tare,285,339
AR Bawne,12,12
AR Patel,494,606
AS Rajpoot,13,6
AS Raut,172,194
AS Yadav,40,49
AT Rayudu,1964,2416
AUK Pathan,26,39
Abdur Razzak,2,0
Anirudh Singh,69,63
Ankit Sharma,69,87
Ankit Soni,9,7
Anureet Singh,43,33
Azhar Mahmood,311,388
B Akhil,57,76
B Chipli,256,280
B Kumar,160,158
B Laughlin,9,4
B Lee,102,124
B Sumanth,38,35
BA Bhatt,7,6
BA Stokes,227,316
BAW Mendis,6,3
BB McCullum,2181,2755
BB Samantray,116,125
BB Sran,4,4
BCJ Cutting,70,124
BE Hendricks,3,1
BJ Haddin,11,18
BJ Hodge,1153,1400
BJ Rohrer,146,193
BMAJ Mendis,27,23
BR Dunk,36,40
Basil Thampi,30,28
Bipul Sharma,124,187
C Madan,21,15
C Munro,31,30
C Nanda,1,0
C de Grandhomme,92,126
CA Ingram,26,21
CA Lynn,260,384
CA Pujara,403,390
CH Gayle,2532,3651
CH Morris,275,439
CJ Anderson,414,521
CJ Ferguson,119,98
CJ Jordan,5,3
CJ McKay,15,8
CK Kapugedera,24,16
CK Langeveldt,9,8
CL White,774,971
CM Gautam,158,169
CR Brathwaite,56,95
CR Woakes,47,46
CRD Fernando,3,4
D Kalyankrishna,8,3
D Salunkhe,24,33
D Wiese,94,127
D du Preez,13,10
DA Miller,1135,1563
DA Warner,2902,4014
DAJ Bracewell,9,12
DB Das,267,304
DB Ravi Teja,325,375
DE Bollinger,23,21
DH Yagnik,142,170
DJ Bravo,1032,1262
DJ Harris,103,111
DJ Hooda,277,373
DJ Hussey,1101,1322
DJ Jacobs,101,92
DJ Muthuswami,3,1
DJ Thornely,54,39
DJG Sammy,251,295
DL Chahar,6,14
DL Vettori,118,121
DM Bravo,5,6
DNT Zoysa,9,11
DP Nannes,13,4
DP Vijaykumar,1,1
DPMD Jayawardene,1522,1808
DR Martyn,26,19
DR Smith,1803,2385
DS Kulkarni,101,90
DS Lehmann,19,18
DT Christian,351,420
DT Patil,13,13
DW Steyn,161,166
EJG Morgan,725,854
ER Dwivedi,15,24
F Behardien,13,14
F du Plessis,1043,1295
FH Edwards,5,4
FY Fazal,179,183
G Gambhir,3433,4132
GB Hogg,22,22
GC Smith,691,739
GD McGrath,5,4
GH Vihari,323,280
GJ Bailey,552,663
GJ Maxwell,780,1229
GR Napier,16,15
Gurkeerat Singh,280,342
H Das,5,2
HH Gibbs,837,886
HH Pandya,306,406
HM Amla,418,577
HV Patel,38,47
Harbhajan Singh,591,799
Harmeet Singh,12,18
Harpreet Singh,26,20
I Malhotra,4,7
I Sharma,59,45
IC Pandey,2,0
IK Pathan,985,1150
IR Jaggi,100,76
Imran Tahir,25,18
Iqbal Abdulla,86,88
Ishan Kishan,255,319
J Arunkumar,24,23
J Botha,364,409
J Suchith,33,48
J Syed Mohammad,27,29
J Theron,13,10
J Yadav,12,6
JA Morkel,712,975
JC Buttler,375,528
JD Ryder,466,604
JD Unadkat,13,5
JDP Oram,110,106
JDS Neesham,46,42
JE Taylor,4,3
JEC Franklin,309,327
JH Kallis,2291,2427
JJ Bumrah,27,25
JJ Roy,41,59
JJ van der Wath,17,18
JM Kemp,25,26
JO Holder,32,38
JP Duminy,1634,1993
JP Faulkner,406,527
JR Hopes,314,417
Jaskaran Singh,11,8
Joginder Sharma,30,36
K Goel,239,218
K Rabada,68,55
K Upadhyay,9,12
KA Pollard,1674,2354
KAJ Roach,9,10
KB Arun Karthik,53,51
KC Cariappa,18,15
KC Sangakkara,1424,1687
KD Karthik,2360,2903
KH Pandya,313,480
KJ Abbott,8,13
KK Cooper,70,116
KK Nair,929,1158
KL Rahul,592,725
KM Jadhav,684,893
KMDN Kulasekara,3,5
KP Appanna,4,2
KP Pietersen,758,1001
KS Williamson,325,411
KV Sharma,285,317
KW Richardson,39,36
Kamran Akmal,78,128
Kamran Khan,5,3
Karanveer Singh,17,12
Kuldeep Yadav,22,20
L Ablish,2,0
L Balaji,50,36
L Ronchi,37,34
LA Carseldine,71,81
LA Pomersbach,251,302
LH Ferguson,1,1
LJ Wright,63,106
LMP Simmons,878,1079
LPC Silva,27,40
LR Shukla,358,405
LRPL Taylor,847,1017
M Ashwin,1,0
M Kaif,258,259
M Kartik,109,113
M Klinger,78,73
M Manhas,486,514
M Morkel,93,126
M Muralitharan,30,20
M Ntini,19,11
M Rawat,70,55
M Vijay,2092,2511
M Vohra,750,957
M de Lange,2,1
MA Agarwal,692,814
MA Khote,22,24
MA Starc,98,96
MC Henriques,769,969
MC Juneja,134,125
MD Mishra,213,237
MDKJ Perera,13,14
MEK Hussey,1648,1977
MF Maharoof,124,177
MG Johnson,157,151
MJ Clarke,96,98
MJ Guptill,143,189
MJ Lumb,198,278
MJ McClenaghan,45,63
MK Pandey,1901,2223
MK Tiwary,1444,1648
ML Hayden,839,1107
MM Patel,41,39
MM Sharma,104,112
MN Samuels,174,161
MN van Wyk,135,167
MP Stoinis,136,163
MR Marsh,201,225
MS Bisla,737,798
MS Dhoni,2680,3560
MS Gony,76,99
MS Wade,33,22
MV Boucher,318,394
Mandeep Singh,938,1112
Mashrafe Mortaza,2,2
Misbah-ul-Haq,82,117
Mohammad Ashraful,12,2
Mohammad Asif,6,3
Mohammad Hafeez,84,64
Mohammad Nabi,3,2
Mohammed Shami,46,46
N Rana,355,437
N Saini,143,140
ND Doshi,13,0
NJ Maddinson,21,20
NJ Rimmington,1,1
NL McCullum,23,26
NLTC Perera,326,424
NM Coulter-Nile,53,52
NS Naik,33,23
NV Ojha,1356,1553
Niraj Patel,124,121
OA Shah,405,506
P Awana,14,5
P Dogra,141,127
P Kumar,323,340
P Negi,284,353
P Parameswaran,3,1
P Sahu,13,19
PA Patel,2060,2322
PA Reddy,167,164
PC Valthaty,432,505
PD Collingwood,159,203
PJ Cummins,56,77
PJ Sangwan,36,24
PM Sarvesh Kumar,2,1
PP Chawla,467,515
PP Ojha,45,16
PR Shah,97,92
PSP Handscomb,12,6
PV Tambe,39,18
Pankaj Singh,12,7
Parvez Rasool,20,17
Q de Kock,566,726
R Ashwin,246,231
R Bhatia,290,342
R Bishnoi,17,19
R Dhawan,135,153
R Dravid,1918,2174
R McLaren,178,159
R Ninan,6,3
R Rampaul,52,51
R Sathish,236,270
R Sharma,77,66
R Shukla,23,19
R Tewatia,24,35
R Vinay Kumar,285,304
RA Jadeja,1458,1732
RA Tripathi,275,391
RD Chahar,2,3
RE Levi,74,83
RE van der Merwe,144,159
RG More,2,2
RG Sharma,3274,4207
RJ Harris,112,117
RJ Peterson,32,32
RJ Quiney,105,103
RN ten Doeschate,238,326
RP Singh,78,52
RR Bhatkal,2,0
RR Pant,381,564
RR Powar,64,67
RR Raje,18,20
RR Rossouw,51,53
RR Sarwan,78,73
RS Bopara,468,531
RS Gavaskar,8,2
RS Sodhi,2,4
RT Ponting,129,91
RV Gomez,53,50
RV Uthappa,2960,3778
Rashid Khan,9,11
S Anirudha,121,136
S Aravind,59,59
S Badree,25,13
S Badrinath,1245,1441
S Chanderpaul,33,25
S Dhawan,3005,3561
S Gopal,27,14
S Kaul,13,9
S Kaushik,1,0
S Ladda,10,0
S Nadeem,71,26
S Narwal,29,37
S Rana,82,91
S Randiv,4,2
S Sohal,311,368
S Sreesanth,57,34
S Sriram,38,31
S Tyagi,4,3
S Vidyut,115,145
SA Abbott,13,15
SA Asnodkar,352,423
SA Yadav,479,608
SB Bangar,58,49
SB Jakati,30,28
SB Joshi,16,6
SB Styris,134,131
SB Wagh,3,2
SC Ganguly,1326,1349
SD Chitnis,92,99
SE Bond,2,1
SE Marsh,1913,2489
SJ Srivastava,5,5
SK Raina,3369,4548
SK Trivedi,61,42
SK Warne,219,198
SL Malinga,103,88
SM Harwood,14,9
SM Katich,191,241
SM Pollock,116,147
SMSM Senanayake,17,10
SN Khan,103,177
SN Thakur,9,7
SP Fleming,171,196
SP Goswami,260,241
SP Jackson,31,38
SP Narine,193,271
SPD Smith,1333,1713
SR Tendulkar,2044,2334
SR Watson,1949,2628
SS Iyer,655,807
SS Shaikh,7,6
SS Tiwary,1111,1276
ST Jayasuriya,573,768
STR Binny,619,766
SV Samson,1165,1426
SW Billings,173,226
SW Tait,26,23
Sachin Baby,106,137
Salman Butt,172,193
Sandeep Sharma,36,26
Shahid Afridi,46,81
Shakib Al Hasan,401,500
Shivam Sharma,3,5
Shoaib Ahmed,6,1
Shoaib Akhtar,8,2
Shoaib Malik,49,52
Sohail Tanvir,31,36
Sunny Gupta,1,0
Sunny Singh,31,43
Swapnil Singh,20,12
T Henderson,16,11
T Kohli,20,11
T Taibu,26,31
T Thushara,19,12
TA Boult,8,5
TD Paine,29,10
TG Southee,36,54
TL Suman,587,676
TM Dilshan,1047,1153
TM Head,151,205
TM Srivastava,11,8
TR Birt,59,75
TS Mills,11,8
U Kaul,1,0
UA Birla,15,7
UBT Chand,314,300
UT Khawaja,105,127
UT Yadav,95,94
Umar Gul,19,39
V Kohli,3494,4423
V Pratap Singh,1,0
V Sehwag,1833,2728
V Shankar,77,101
VH Zol,26,29
VR Aaron,56,46
VRV Singh,3,4
VS Malik,7,7
VS Yeligati,2,2
VVS Laxman,271,282
VY Mahesh,28,15
Vishnu Vinod,26,19
W Jaffer,129,130
WA Mota,76,56
WD Parnell,80,63
WP Saha,1219,1557
WPUJC Vaas,73,81
Washington Sundar,12,9
X Thalaivan Sargunam,17,10
Y Gnaneswara Rao,18,19
Y Nagar,271,285
Y Venugopal Rao,865,985
YA Abdulla,1,0
YK Pathan,2076,2922
YS Chahal,29,15
YV Takawale,183,192
Yashpal Singh,67,47
Younis Khan,7,3
Yuvraj Singh,2050,2591
Z Khan,141,117
